customer_id,age,state,account_type,tenure_months,monthly_transactions,avg_transaction_value_ngn,account_balance_ngn,loan_taken,savings_plan_active,customer_support_calls,app_logins_per_month,referrals_made,churned
NG00001,46,Lagos,Basic,33,56,6244.56,13132.17,0,0,5,73,2,0
NG00002,32,Enugu,Basic,23,49,18432.54,26923.47,1,0,2,54,3,0
NG00003,25,Enugu,Premium,28,42,40550.78,142207.17,0,0,3,3,0,0
NG00004,38,Lagos,Premium,32,42,3234.35,22914.86,0,1,5,9,2,0
NG00005,36,Enugu,Premium,7,56,9391.16,82410.4,1,0,6,46,4,0
NG00006,40,Rivers,Premium,29,36,4561.61,9401.44,0,0,0,74,0,0
NG00007,28,Enugu,Premium,8,20,19392.0,50226.6,0,0,6,13,0,1
NG00008,28,Delta,Basic,1,4,10841.44,169765.36,0,1,0,37,0,0
NG00009,41,Oyo,Basic,3,54,12580.57,4835.98,0,0,4,11,2,1
NG00010,53,Oyo,Premium,24,7,19688.75,375.96,0,0,5,44,0,1
NG00011,41,Rivers,Premium,23,54,6549.59,25579.1,0,0,1,16,3,0
NG00012,20,Abuja,Premium,8,1,30093.97,4374.0,1,0,9,79,0,1
NG00013,39,Rivers,Basic,47,44,9637.85,62093.36,0,1,8,34,4,0
NG00014,19,Delta,Basic,37,56,2563.06,110691.37,0,1,9,65,1,0
NG00015,41,Lagos,Business,3,45,14784.75,25613.92,0,0,5,74,4,0
NG00016,47,Rivers,Premium,33,42,19415.6,13471.45,0,0,6,40,2,0
NG00017,19,Lagos,Basic,28,47,5070.94,25644.33,1,0,9,66,0,1
NG00018,38,Delta,Premium,47,59,23853.98,57841.01,1,0,7,28,0,0
NG00019,50,Kaduna,Business,8,13,28891.83,409.29,0,0,9,17,3,1
NG00020,29,Delta,Basic,34,55,4390.57,40062.03,1,1,0,19,0,0
NG00021,39,Kano,Premium,35,22,49768.37,42753.81,0,1,7,13,4,0
NG00022,42,Lagos,Business,32,54,2319.81,45686.26,0,1,3,33,2,0
NG00023,44,Oyo,Business,24,21,3208.0,12469.55,0,1,9,48,1,0
NG00024,45,Rivers,Business,14,22,2943.4,56337.65,0,1,7,53,0,0
NG00025,33,Kaduna,Premium,32,28,27430.63,4312.84,0,1,5,30,1,0
NG00026,32,Delta,Basic,46,9,13245.95,10000.43,1,0,8,57,0,0
